year,artist,track,lyrics
1944,Judy Garland,Trolley Song,With my high starched-collar and my high-topped shoes And my hair piled high upon my head I went to lose a jolly hour on the trolley And lost my heart instead. With his light brown derby and his bright green tie He was quite the handsomest of men. I started to yen so I counted to ten Then I counted to ten again. Clang clang clang went the trolley Ding ding ding went the bell Zing zing zing went my heart strings From the moment I saw him I fell. Chug chug chug went the motor b__p b__p b__p went the brake Thump thump thump went my heart strings When he smiled I could feel the car shake. He tipped his hat and took a seat. He said he hoped he hadn't stepped upon my feet. He asked my name I held my breath. I couldn't speak because he scared me half to death.. Chug chug chug went the motor Pop pop pop went the wheels Stop stop stop went my heart strings As he started to go then I started to know how it feels When the universe reels. The day was bright the air was sweet The smell of honeysuckle charmed you off your feet. You tried to sing but couldn't squeak In fact you loved him so you couldn't even speak.. Buzz buzz buzz went the buzzer Plop plop plop went the wheels Stop stop stop went my heart strings As he started to leave I took hold of his sleeve with my hand And as if it were planned He stayed on with me and it was grand just to stand With his hand holding mine to the end of the line. 
1944,Jimmy Dorsey,Besame Mucho,Besame besame mucho Each time I cling to your kiss I hear music divine Besame mucho Hold me my darling and say that you'll always be mine This joy is something new My arms enfolding you Never knew this thrill before Whoever thought I'd be Holding you close to me Whispering 'It's you I adore' Dearest one If you should leave me Each little dream would take wing and my life would be through Bsame mucho Love me forever and make all my dreams come true. Besame besame mucho Como si fuera esta noche la ltima vez Bsame mucho Que tengo miedo perderte perderte otra vez Quiero tenerte muy Cerca mirarme en tus Ojos verte junto a m Piensa que tal vez Maana yo ya estar Lejos muy lejos de ti Besame bsame mucho Como si fuera esta noche la ltima vez Besame mucho Que tengo miedo perderte perderte despus 
1945,The Andrews Sisters,Rum & Coca-Cola,If you ever go down Trinidad They make you feel so very glad Calypso sing and make up rhyme Guarantee you one real good fine time Drinkin' rum and Coca-Cola Go down Point Koomahnah Both mother and daughter Workin' for the Yankee dollar. Oh beat it man beat it. Since the Yankee come to Trinidad They got the young girls all goin' mad Young girls say they treat 'em nice Make Trinidad like paradise. Drinkin' rum and Coca-Cola Go down Point Koomahnah Both mother and daughter Workin' for the Yankee dollar. Oh you vex me you vex me. From Chicachicaree to Mona's Isle Native girls all dance and smile Help soldier celebrate his leave Make every day like New Year's Eve. Drinkin' rum and Coca-Cola Go down Point Koomahnah Both mother and daughter Workin' for the Yankee dollar. It's a fact man it's a fact. In old Trinidad I also fear The situation is mighty queer Like the Yankee girl the native swoon When she hear der Bingo croon Drinkin' rum and Coca-Cola Go down Point Koomahnah Both mother and daughter Workin' for the Yankee dollar. Out on Manzanella Beach G.I. romance with native peach All night long make tropic love Next day sit in hot sun and cool off. Drinkin' rum and Coca-Cola Go down Point Koomahnah Both mother and daughter Workin' for the Yankee dollar. It's a fact man it's a fact. Rum and Coca-Cola Rum and Coca-Cola Workin' for the Yankee dollar 
1945,Les Brown,Sentimental Journey,Gonna take a Sentimental Journey Gonna set my heart at ease. Gonna make a Sentimental Journey to renew old memories. Got my bags got my reservations Spent each dime I could afford. Like a child in wild anticipation I Long to hear that 'All aboard!'. Seven...that's the time we leave at seven. I'll be waitin' up at heaven Countin' every mile of railroad track that takes me back.. Never thought my heart could be so yearny. Why did I decide to roam? Gotta take that Sentimental Journey Sentimental Journey home. Sentimental Journey. 
1945,Perry Como,Till The End Of Time,Till the end of time long as stars are in the blue Long as there's a Spring of birds to sing I'll go on loving you Till the end of time long as roses bloom in May My love for you will grow deeper with every passing day Till the wells run dry and each mountain disappears I'll be there for you to care for you through laughter and through tears So take my heart in sweet surrender and tenderly say that I'm The one you love and live for till the end of time. Till the wells run dry and each mountain disappears I'll be there for you to care for you through laughter and through tears So take my heart in sweet surrender and tenderly say that I'm The one you love and live for till the end of time 
1946,Perry Como,Prisoner Of Love,Alone from night to night you'll find me Too weak to break the chains that bind me I need no shackles to remind me I'm just a prisoner of love For one command I stand and wait now From one who's master of my fate now I can't escape for it's too late now I'm just a prisoner of love. What's the good of my caring if someone is sharing those arms with me? Although she has another I can't have another; for I'm not free. [Chorus] She's in my dreams awake or sleeping Upon my knees to her I'm creeping My very life is in her keeping I'm just a prisoner of love. What's the good of my caring if someone is sharing those arms with me? Although she has another I can't have another; for I'm not free 
1946,Eddy Howard,To Each His Own,A rose must remain with the sun and the rain Or its lovely promise won't come true To each his own to each his own And my own is you What good is a song if the words just don't belong? And a dream must be a dream for two No good alone to each his own For me there's you. If a flame is to grow there must be a glow To open each door there's a key I need you I know I can't let you go Your touch means too much to me. Two lips must insist on two more to be kissed Or they'll never know what love can do To each his own I've found my own One and only you. A rose must remain with the sun and the rain Or its lovely promise won't come true To each his own I've found my own One and only you... 
1946,The Ink Spots,The Gypsy,Pd... In a quaint caravan There's a lady they call The Gypsy She can look in the future And drive away all your fears Pd... Everything will come right If you only believe The Gypsy She could tell at a glance That my heart was so full of tears. Pd... She looked at my hand and told me My lover was always true And yet in my heart I knew dear Somebody else was kissing you. Pd... But I'll go there again 'Cause I want to believe The Gypsy That my lover is true And will come back to me some day...Pd. ...Pd... 
1947,Francis Craig,Near You,There's just one place for me near you It's like heaven to be near you Times when we're apart I can't face my heart Say you'll never stray More than just two lips away If my hours could be spent near you I'd be more than content near you Make my life worthwhile By telling me that I'll Spend the rest of my days near you. {instrumental break}. There is just one place for me I'm happy when I'm near you It's wonderful as heaven a special kind of heaven but only when I'm near you Times when we're apart I wonder how I can face my heart Say you'll never stray More than just two lips away. If my waking hours could be spent while near you I would be content wonderfully content just to be near you Make my life worthwhile By telling me that I'll Spend the rest of my days All of those happy happy days So near you. 
1947,The Harmonicats,Peg O' My Heart,Peg o'my heart I love you don't let us part I love you I always knew it would be you Since I heard your lilting laughter It's your Irish heart I'm after Peg o'my heart Your glances make my heart say 'How's chances?' Come be my own come make your home in my heart 
1947,Ted Weems,Heartaches,Heartaches Heartaches My loving you meant only heartaches Your kiss was such a sacred thing to me I can't believe it's just a burning memory Heartaches Heartaches What does it matter how my heart breaks? I should be happy with someone new But my heart aches for you 
