year,artist,track,lyrics
1963,Beach Boys,Surfin' USA,If everybody had an ocean Across the U.S.A. Then everybody'd be surfin' Like California You'd seem 'em wearing their baggies Huarachi sandals too A bushy bushy blond hairdo Surfin' U.S.A. You'd catch 'em surfin' at Del Mar Ventura County line Santa Cruz and Trestle Australia's Narabine All over Manhattan And down Doheny Way. Everybody's gone surfin' Surfin' U.S.A.. We'll all be planning that route We're gonna take real soon We're waxing down our surfboards We can't wait for June We'll all be gone for the summer We're on surfari to stay Tell the teacher we're surfin' Surfin' U.S.A.. Haggerties and Swamies Pacific Palisades San Anofree and Sunset Redondo Beach L.A. All over La Jolla At Waimia Bay Everybody's gone surfin' Surfin' U.S.A.. Everybody's gone surfin' Surfin' U.S.A.. Everybody's gone surfin' Surfin' U.S.A.
1963,Skeeter Davis,The End Of The World,Why does the sun go on shining Why does the sea rush to shore Don't they know it's the end of the world 'Cause you don't love me any more Why do the birds go on singing Why do the stars glow above Don't they know it's the end of the world It ended when I lost your love. I wake up in the morning and I wonder Why everything's the same as it was I can't understand no I can't understand How life goes on the way it does. Why does my heart go on beating Why do these eyes of mine cry Don't they know it's the end of the world It ended when you said goodbye. Why does my heart go on beating Why do these eyes of mine cry Don't they know it's the end of the world It ended when you said goodbye.  
1964,Beatles,I Want To Hold Your Hand,Oh yeah I tell you somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand Oh please say to me You'll let me be your man And please say to me You'll let me hold your hand Now let me hold your hand I want to hold your hand. And when I touch you I feel happy inside It's such a feelin' that my love I can't hide I can't hide I can't hide. Yeah you got that somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand. And when I touch you I feel happy inside It's such a feelin' that my love I can't hide I can't hide I can't hide Yeah you got that somethin' I think you'll understand When I feel that somethin' I want to hold your hand I want to hold your hand I want to hold your hand I want to hold your hand. 
1964,Beatles,She Loves You,She loves you yeah yeah yeah She loves you yeah yeah yeah She loves you yeah yeah yeah yeah You think you lost your love When I saw her yesterday It's you she's thinking of And she told me what to say She says she loves you And you know that can't be bad Yes she loves you And you know you should be glad. She said you hurt her so She almost lost her mind And now she says she knows You're not the hurting kind She says she loves you And you know that can't be bad Yes she loves you And you know you should be glad ooh. She loves you yeah yeah yeah She loves you yeah yeah yeah And with a love like that You know you should be glad. You know it's up to you I think it's only fair Pride can hurt you too Apologize to her Because she loves you And you know that can't be bad Yes she loves you And you know you should be glad ooh She loves you yeah yeah yeah She loves you yeah yeah yeah With a love like that You know you should be glad With a love like that You know you should be glad With a love like that You know you should be glad Yeah yeah yeah Yeah yeah yeah yeah. 
1964,Louis Armstrong,Hello Dolly!,Hello Dolly this is Louis Dolly It's so nice to have you back where you belong You lookin' swell Dolly I can tell Dolly You still glowin' you still growin' you still goin' strong I feel the room swayin' while the band's playin' One of their old favourite songs from way back when So take a wrap fellas find her an empty lap fellas Dolly . never go away again I feel the room swayin' but the band's playin' One of our old favourite songs from back when So golly gee fellas have a little faith in me fellas Dolly never go away Promise you'll never go away Dolly never go away again.  
1965,Sam The Sham and The Pharoahs,Wooly Bully,Uno dos one two tres quatro.. Hey wooly bully. Watch it now watch it. Hey dog hey dog. Watch it now he'll git'cha. [End of spoken intro.] Matty told Hatty about a thing she saw. Had two big horns and a wooly jaw. (Wooly bully wooly bully.) Yeah drive. (Wooly bully wooly bully wooly bully.). Hatty told Matty 'Let's don't take no chance. Let's not be L7 come and learn to dance.' (Wooly bully wooly bully.) (Wooly bully wooly bully wooly bully.) Watch it now watch it watch it watch it!. Yeahhhhhh. Hey. Ride ride ride! Matty told Hatty that the thing to do Get you someone really To pull the wool with you. (Wooly bully wooly bully.) (Wooly bully wooly bully wooly bully.). Watch it now watch it. Here it come. You got it. You got it!.  
1965,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),Sugarpie honeybunch You know that I love you I can't help myself I love you and nobody else In and out my life You come and you go Leaving just your picture behind And I kissed it a thousand times When you snap your fingers Or wink your eye I come a running to you I'm tied to you baby And there's nothing I can do Ooh sugar. Sugarpie honeybunch I'm weaker than a man should be I can't help myself I'm a fool in love you see Wanna tell you I don't love you Tell you that we're through And I've tried But everytime I see your face I get up all choked up inside. When I call your name girl It starts the flame burning in my heart Tearin' it all apart No matter how I try My love I cannot hide Sugarpie honeybunch You now that I'm weak for you I can't help myself I love you and nobody else. Sugarpie honeybunch I'll do anything you ask me to I can't help myself I want you and nobody else. Sugarpie honeybunch You know that I love you I can't help myself.  
1965,Rolling Stones,(I Can't Get No) Satisfaction,I can't get no satisfaction I can't get no satisfaction Cause I try and I try and I try and I try I can't get no I can't get no When I'm drivin' in my car and the man come on the radio He's tellin' me more and more about some useless information Supposed to fire my imagination. I can't get no. Oh no no no. Hey hey hey That's what I say I can't get no satisfaction I can't get no satisfaction Cause I try and I try and I try and I try I can't get no I can't get no. When I'm watchin' my TV and a man comes on and tell me How white my shirts can be But he can't be a man 'cause he doesn't smoke The same cigarettes as me. I can't get no. Oh no no no. Hey hey hey That's what I say I can't get no satisfaction I can't get no satisfaction Cause I try and I try and I try and I try I can't get no I can't get no When I'm ridin' round the world And I'm doin' this and I'm signin' that And I'm tryin' to make some girl who tells me Baby better come back maybe next week Cause you see I'm on a losing streak I can't get no. Oh no no no. Hey hey hey That's what I say. I can't get no I can't get no I can't get no satisfaction no satisfaction No satisfaction no satisfaction.  
1966,Sgt. Barry Sadler,The Ballad Of The Green Berets,Fighting soldiers from the sky Fearless men who jump and die Men who mean just what they say The brave men of the Green Beret Silver wings upon their chest These are men America's best One hundred men will test today But only three win the Green Beret. Trained to live off nature's land Trained in combat hand-to-hand Men who fight by night and day Courage peak from the Green Berets. Silver wings upon their chest These are men America's best One hundred men will test today But only three win the Green Beret. Back at home a young wife waits Her Green Beret has met his fate He has died for those oppressed Leaving her his last request Put silver wings on my son's chest Make him one of America's best He'll be a man they'll test one day Have him win the Green Beret. 
1966,Association,Cherish,Cherish is the word I use to describe All the feeling that I have hiding here for you inside You don't know how many times I've wished that I had told you You don't know how many times I've wished that I could hold you You don't know how many times I've wished that I could mold you Into someone who could cherish me as much as I cherish you Perish is the word that more than applies To the hope in my heart each time I realize That I am not gonna be the one to share your dreams That I am not gonna be the one to share your schemes That I am not gonna be the one to share what seems to be The life that you could cherish as much as I do yours. Oh I'm beginning to think that man has never found The words that could make you want me That have the right amount of letters just the right sound That could make you hear make you see That you are driving me out of my mind. Oh I could say I need you but then you'd realize That I want you just like a thousand other guys Who'd say they loved you with all the rest of their lies When all they wanted was to touch your face your hands And gaze into your eyes Cherish is the word I use to describe All the feeling that I have hiding here for you inside You don't know how many times I've wished that I had told you You don't know how many times I've wished that I could hold you You don't know how many times I've wished that I could mold you Into someone who could cherish me as much as I cherish you. And I do cherish you And I do cherish you Cherish is the word. 
1966,Righteous Brothers,(You're My) Soul And Inspiration,Girl I can't let you do this Let you walk away Girl how can I live through this When you're all I wake up for each day? Baby you're my soul and my heart's inspiration You're all I've got to get me by You're my soul and my heart's inspiration Without you baby what good am I?. I never had much goin' But at least I had you How can you walk out knowin' I ain't got nothin' left if you do?. Baby you're my soul and my heart's inspiration You're all I've got to get me by You're my soul and my heart's inspiration Without you baby what good am I oh what good am I?. [Spoken:] Baby I can't make it withoutcha. And I'm I'm tellin' ya honey-you're my reason for laughin' for cryin' for livin' and for dyin'.. Baby I can't make it without you Please I'm begging you baby If you go it will kill me I swear it Dear my love can't bear it You're my soul and my heart's inspiration You're all I've got to get me by You're my soul and my heart's inspiration Without you baby what good am I what good am I?. Mm-mm-mm Mm-mm-mm Mm-mm-mm. 
1967,Lulu,To Sir With Love,Those schoolgirl days of telling tales and biting nails are gone But in my mind I know they will still live on and on But how do you thank someone who has taken you from crayons to perfume? It isn't easy but I'll try If you wanted the sky I would write across the sky in letters That would soar a thousand feet high 'To Sir With Love'. The time has come for closing books and long last looks must end And as I leave I know that I am leaving my best friend A friend who taught me right from wrong and weak from strong That's a lot to learn but what can I give you in return?. If you wanted the moon I would try to make a start But I would rather you let me give my heart 'To Sir With Love'.  
1967,Box Tops,The Letter,Gimme a ticket for an aeroplane Ain't got time to take a fast train Lonely days are gone I'm a-goin' home My baby just-a wrote me a letter I don't care how much money I gotta spend Got to get back to baby again Lonely days are gone I'm a-goin' home My baby just-a wrote me a letter. Well she wrote me a letter Said she couldn't live without me no more Listen mister can't you see I got to get back To my baby once-a more Anyway yeah!. Gimme a ticket for an aeroplane Ain't got time to take a fast train Lonely days are gone I'm a-goin' home My baby just-a wrote me a letter. Well she wrote me a letter Said she couldn't live without me no more Listen mister can't you see I got to get back To my baby once-a more Anyway yeah! Gimme a ticket for an aeroplane Ain't got time to take a fast train Lonely days are gone I'm a-goin' home My baby just-a wrote me a letter My baby just-a wrote me a letter.  
1967,Bobby Gentry,Ode To Billie Joe,It was the third of June another sleepy dusty Delta day I was out choppin' cotton and my brother was balin' hay And at dinner time we stopped and walked back to the house to eat And mama hollered out the back door 'y'all remember to wipe your feet!' And then she said 'I got some news this mornin' from Choctaw Ridge Today Billy Joe MacAllister jumped off the Tallahatchie Bridge.' And papa said to mama as he passed around the blackeyed peas 'Well Billy Joe never had a lick of sense; pass the biscuits please There's five more acres in the lower forty I've got to plow.' And mama said it was shame about Billy Joe anyhow Seems like nothin' ever comes to no good up on Choctaw Ridge And now Billy Joe MacAllister's jumped off the Tallahatchie Bridge. And brother said he recollected when he and Tom and Billie Joe Put a frog down my back at the Carroll County picture show And wasn't I talkin' to him after church last Sunday night? 'I'll have another piece-a apple pie; you know it don't seem right I saw him at the sawmill yesterday on Choctaw Ridge And now ya tell me Billie Joe's jumped off the Tallahatchie Bridge.'. And mama said to me 'Child what's happened to your appetite? I've been cookin' all morning and you haven't touched a single bite That nice young preacher Brother Taylor dropped by today Said he'd be pleased to have dinner on Sunday oh by the way He said he saw a girl that looked a lot like you up on Choctaw Ridge And she and Billy Joe was throwing somethin' off the Tallahatchie Bridge.' A year has come and gone since we heard the news 'bout Billy Joe And brother married Becky Thompson; they bought a store in Tupelo There was a virus going 'round; papa caught it and he died last spring And now mama doesn't seem to want to do much of anything And me - I spend a lot of time pickin' flowers up on Choctaw Ridge And drop them into the muddy water off the Tallahatchie Bridge.  
1968,Beatles,Hey Jude,Hey Jude don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better. And anytime you feel the pain hey Jude refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Nah nah nah nah nah nah nah nah nah. Hey Jude don't let me down You have found her now go and get her Remember to let her into your heart Then you can start to make it better. So let it out and let it in hey Jude begin You're waiting for someone to perform with And don't you know that it's just you hey Jude you'll do The movement you need is on your shoulder Nah nah nah nah nah nah nah nah nah yeah. Hey Jude don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it Better better better better better better oh Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude Nah nah nah nah nah nah nah nah nah hey Jude.  
1968,Paul Mauriat,Love Is Blue,Blue blue my world is blue Blue is my world now I'm without you Gray gray my life is gray Cold is my heart since you went away Red red my eyes are red Crying for you alone in my bed Green green my jealous heart I doubted you and now we're apart. When we met how the bright sun shone Then love died now the rainbow is gone. Black black the nights I've known Longing for you so lost and alone. 
1968,Bobby Goldsboro,Honey,See the tree how big it's grown But friend it hasn't been too long It wasn't big I laughed at her and she got mad The first day that she planted it was just a twig Then the first snow came And she ran out to brush the snow away So it wouldn't die Came runnin' in all excited Slipped and almost hurt herself And I laughed till I cried She was always young at heart Kinda dumb and kinda smart and I loved her so And I surprised her with a puppy Kept me up all Christmas Eve two years ago And it would sure embarrass her When I came in from workin' late 'Cause I would know That she'd been sittin' there and cryin' Over some sad and silly late late show. And honey I miss you And I'm bein' good And I'd love to be with you If only I could. She wrecked the car and she was sad And so afraid that I'd be mad But what the heck Though I pretended hard to be Guess you could say she saw through me And hugged my neck I came home unexpectedly And caught her cryin' needlessly In the middle of the day And it was in the early Spring When flowers bloom and robins sing She went away. And honey I miss you And I'm bein' good And I'd love to be with you If only I could One day while I was not at home While she was there and all alone The angels came Now all I have is memories of Honey And I wake up nights and call her name Now my life's an empty stage Where Honey lived and Honey played And love grew up And a small cloud passes overhead And cries down on the flower bed That Honey loved. And see the tree how big it's grown But friend it hasn't been too long It wasn't big And I laughed at her and she got mad The first day that she planted it was just a twig. 
1969,Archies,Sugar Sugar,Sugar ah honey honey You are my candy girl And you've got me wanting you. Honey ah sugar sugar You are my candy girl And you've got me wanting you. I just can't believe the loveliness of loving you (I just can't believe it's true) I just can't believe the one to love this feeling to. (I just can't believe it's true). Ah sugar ah honey honey You are my candy girl And you've got me wanting you. Ah honey ah sugar sugar You are my candy girl And you've got me wanting you.. When I kissed you girl I knew how sweet a kiss could be (I know how sweet a kiss can be) Like the summer sunshine pour your sweetness over me (Pour your sweetness over me). Sugar pour a little sugar on it honey Pour a little sugar on it baby I'm gonna make your life so sweet yeah yeah yeah Pour a little sugar on it oh yeah Pour a little sugar on it honey Pour a little sugar on it baby I'm gonna make your life so sweet yeah yeah yeah Pour a little sugar on it honey Ah sugar ah honey honey You are my candy girl And you've got me wanting you. Oh honey honey sugar sugar... You are my candy girl.... 
1969,Fifth Dimension,Aquarius / Let The Sunshine In,When the moon is in the Seventh House And Jupiter aligns with Mars Then peace will guide the planets And love will steer the stars This is the dawning of the age of Aquarius Age of Aquarius Aquarius! Aquarius!. Harmony and understanding Sympathy and trust abounding No more falsehoods or derisions Golden living dreams of visions Mystic crystal revelation And the mind's true liberation Aquarius! Aquarius!. When the moon is in the Seventh House And Jupiter aligns with Mars Then peace will guide the planets And love will steer the stars This is the dawning of the age of Aquarius Age of Aquarius Aquarius! Aquarius! Aquarius! Aquarius!. [Instrumental and tempo shift]. Let the sunshine let the sunshine in the sunshine in Let the sunshine let the sunshine in the sunshine in Let the sunshine let the sunshine in the sunshine in [Continue to end with concurrent scat]. Oh let it shine c'mon Now everybody just sing along Let the sun shine in Open up your heart and let it shine on in When you are lonely let it shine on Got to open up your heart and let it shine on in And when you feel like you've been mistreated And your friends turn away Just open your heart and shine it on in. 
1969,Temptations,I Can't Get Next To You,I my my my my Oh I Can turn the gray sky blue I You see I can make it rain when I want it to oh I I can build a castle from a single grain of sand I You see I can make a ship sail on dry land tell 'em yeah I'm unhappy with all the powers I possess yeah Girl you're the key to my happiness and I (I can't get next to you babe ) (I can't get next to you) I've trying a long time (I can't get next to you babe) (I can't get next you) I don't know what to do. I Oh I I oh Lord I can fly like a bird in the sky oh I And I can buy anything that money can buy oh I Can turn a river into a raging fire oh I And I can live forever if I so desire yeah I'm unhappy with all the power I possess yeah girl 'Cause girl your the key cause (I can't get next to you babe) (I can't get next to you) (I can't get next to you babe) (I can't get next to you). Let me tell that I can turn back the hands of time You better believe I can oh I You see I can take the season's change just by waving my hand let me say I I can change anything from old to new girl oh I All the things I want to do the most you see I'm unable to do yeah. Unimportant these things that I'm trying to do here today 'Cause girl you see I (Can't get next to you babe) I've been trying a long time (I can't get next to you) Oh somebody oughta help me (I can't get next to you babe) Let me let me go (I can't get next to you) Let me I Lord I've been working on it baby I've been thinking about it Oh I But you see I've been trying to call you all day long But you see I don't have your phone number honey I I've been I've been thinking about you baby something awful You see I oh I sometimes I feel like I want to moan about it And I I don't just know what to say about it. 
1970,Simon and Garfunkel,Bridge Over Troubled Water,When you're weary feeling small When tears are in your eyes I will dry them all; I'm on your side. When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down. Like a bridge over troubled water I will lay me down. When you're down and out When you're on the street When evening falls so hard I will comfort you. I'll take your part. When darkness comes And pain is all around Like a bridge over troubled water I will lay me down. Like a bridge over troubled water I will lay me down.. Sail on silvergirl Sail on by. Your time has come to shine. All your dreams are on their way. See how they shine. If you need a friend I'm sailing right behind. Like a bridge over troubled water I will ease your mind. Like a bridge over troubled water I will ease your mind.. 
1970,Carpenters,(They Long To Be) Close To You,Close to you Why do birds suddenly appear ev'ry time you are near? Just like me they long to be close to you. Why do stars fall down from the sky ev'ry time you walk by? Just like me they long to be close to you. * Oh the day that you were born the angels got together. And decided to create a dream come true. So they sprinkled moon dust in your hair of gold And star-light in your eyes of blue. That is why all the boys in town follow you all around. Just like me  they long to be close to you... 
1970,Guess Who,American Woman,American woman stay away from me American woman mama let me be Don't come a hangin' around my door I don't want to see your face no more I got more important things to do Than spend my time growin' old with you Now woman I said stay away American woman listen what I say-ay-ay-ay-ay-ay American woman get away from me American woman mama let me be Don't come a knockin' around my door Don't want to see your shadow no more Colored lights can hypnotize Sparkle someone else's eyes Now woman I said get away American woman listen what I say-ay-ay-ay. American woman said get away American woman listen what I say Don't come a hangin' around my door Don't want to see your face no more I don't need your war machines I don't need your ghetto scenes Colored lights can hypnotize Sparkle someone else's eyes Now woman get away from me American woman mama let me be. Go gotta get away gotta get away now go go go I'm gonna leave you woman Gonna leave you woman Bye-bye bye-bye bye-bye bye-bye You're no good for me I'm no good for you Gonna look you right in the eye Tell you what I'm gonna do You know I'm gonna leave You know I'm gonna go You know I'm gonna leave You know I'm gonna go-o woman I'm gonna leave you woman Goodbye American woman Goodbye American chick 
1971,Three Dog Night,Joy To The World,Jeremiah was a bullfrog Was a good friend of mine I never understood a single word he said But I helped him a-drink his wine And he always had some mighty fine wine Singin'... Joy to the world All the boys and girls now Joy to the fishes in the deep blue sea Joy to you and me. If I were the king of the world Tell you what I'd do I'd throw away the cars and the bars and the war Make sweet love to you Sing it now.... Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. [electric piano]. You know I love the ladies Love to have my fun I'm a high life flyer and a rainbow rider A straight shootin' son-of-a-gun I said a straight shootin' son-of-a-gun. Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. Joy to the world All the boys and girls Joy to the world Joy to you and me. Joy to the world All the boys and girls now Joy to the fishes in the deep blue sea Joy to you and me Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. I want to tell you Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. Joy to the world All the boys and girls Joy to the fishes in the deep blue sea Joy to you and me. [fading] Joy to the world All the boys and girls 
1971,Rod Steward,Maggie May / (Find A) Reason To Believe,Wake up Maggie I think I got something to say to you. It's late September and I really should be back at school. I know I keep you amused But I feel I'm being used. Oh Maggie I couldn't have tried any more. You led me away from home Just to save you from being alone. You stole my heart and that's what really hurts.. The morning sun when it's in your face Really shows your age. But that don't worry me none. In my eyes you're everything. I laughed at all of your jokes. My love you didn't need to coax. Oh Maggie I couldn't have tried any more. You led me away from home Just to save you from being alone. You stole my soul and that's a pain I can do without.. All I needed was a friend To lend a guiding hand. But you turned into a lover and mother what a lover! You wore me out. All you did was wreck my bed And in the morning kick me in the head Oh Maggie I couldn't have tried any more. You led me away from home 'Cause you didn't want to be alone. You stole my heart. I couldn't leave you if I tried. I suppose I could collect my books And get on back to school. Or steal my daddy's cue And make a living out of playing pool. Or find myself a rock 'n' roll band That needs a helping hand. Oh Maggie I wish I'd never seen your face. You made a first-class fool out of me. But I'm as blind as a fool can be.. If I listened long enough to you I'd find a way to believe that it's all true Knowing that you lied straight-faced while I cried Still I look to find a reason to believe Someone like you makes it hard to live without somebody else Someone like you makes it easy to give never think about myself. If I gave you time to change my mind I'd find a way just to leave the past behind Knowing that you lied straight-faced while I cried Still I look to find a reason to believe. If I listened long enough to you I'd find a way to believe that it's all true Knowing that you lied straight-faced while I cried Still I look to find a reason to believe. Someone like you makes it hard to live without somebody else Someone like you makes it easy to give never think about myself. 
1971,Carole King,It's Too Late / I Feel The Earth Move,Stayed in bed all mornin' just to pass the time. There's somethin' wrong here there can be no denyin'. One of us is changin' or maybe we've just stopped tryin'. And it's too late baby now it's too late though we really did try to make it. Somethin' inside has died and I can't hide and I just can't fake it oh no no.. It used to be so easy livin' here with you. You were light and breezy an' I knew just what to do. Now you look so unhappy and I feel like a fool.. And it's too late baby now it's too late though we really did try to make it. Somethin' inside has died and I can't hide and I just can't fake it oh no no.. There'll be good times again for me and you but we just can't stay together; don't you feel it too? Still I'm glad for what we had and how I once loved you. And it's too late baby now it's too late though we really did try to make it. Somethin' inside has died and I can't hide and I just can't fake it oh no no. no no no no.. I feel the earth move under my feet I feel the sky tumbling down I feel my heart start to trembling Whenever you're around Ooh baby when I see your face Mellow as the month of May Oh darling I can't stand it When you look at me that way. I feel the earth move under my feet I feel the sky tumbling down I feel my heart start to trembling Whenever you're around. Oh darling when you're near me And you tenderly call my name I know that my emotions Are something I just can't tame I've just got to have you baby I feel the earth move under my feet I feel the sky tumbling down I feel the earth move under my feet I feel the sky tumbling down I just lose control Down to my very soul I get hot and cold all over I feel the earth move under my feet I feel the sky tumbling down tumbling down tumbling down.... 
1972,Roberta Flack,The First Time Ever I Saw Your Face,The first time ever I saw your face I thought the sun rose in your eyes And the moon and the stars were the gifts you gave To the dark and the end of the skies And the first time ever I kissed your mouth I felt the earth move in my hand Like the trembling heart of a captive bird That was there at my command my love. And the first time ever I lay with you I felt your heart so close to mine And I knew our joy would fill the earth And last till the end of time my love. The first time ever I saw your face Your face Your face Your face.
1972,Gilbert O'Sullivan,Alone Again (Naturally),In a little while from now If I'm not feeling any less sour I promise myself to treat myself And visit a nearby tower And climbing to the top Will throw myself off In an effort to Make it clear to whoever Wants to know what it's like When you're shattered Left standing in the lurch at a church Were people saying My God that's tough She stood him up No point in us remaining We may as well go home As I did on my own Alone again naturally. To think that only yesterday I was cheerful bright and gay Looking forward to who wouldn't do The role I was about to play But as if to knock me down Reality came around And without so much as a mere touch Cut me into little pieces Leaving me to doubt Talk about God in His mercy Oh if he really does exist Why did he desert me In my hour of need I truly am indeed Alone again naturally. It seems to me that there are more hearts Broken in the world that can't be mended Left unattended What do we do What do we do Alone again naturally. Looking back over the years And whatever else that appears I remember I cried when my father died Never wishing to hide the tears And at sixty-five years old My mother God rest her soul Couldn't understand why the only man She had ever loved had been taken Leaving her to start With a heart so badly broken Despite encouragement from me No words were ever [Spoken] And when she passed away I cried and cried all day Alone again naturally Alone again naturally. 
1972,Don McLean,American Pie,A long long time ago I can still remember how That music used to make me smile And I knew if I had my chance That I could make those people dance And maybe they'd be happy for a while But February made me shiver With every paper I'd deliver Bad news on the doorstep I couldn't take one more step I can't remember if I cried When I read about his widowed bride But something touched me deep inside **The day the music died** So. [Chorus] Bye bye Miss American Pie Drove my Chevy to the levee but the levee was dry Them good ole boys were drinking whiskey in Rye Singin' this'll be the day that I die This'll be the day that I die. Did you write the book of love And do you have faith in God above If the Bible tells you so? Now do you believe in rock and roll? Can music save your mortal soul? And can you teach me how to dance real slow?. Well I know that you're in love with him Cause I saw you dancin' in the gym You both kicked off your shoes Man I dig those rhythm and blues I was a lonely teenage broncin' buck With a pink carnation and a pickup truck But I knew I was out of luck The day the music died I started singin'. [Chorus]. Now for ten years we've been on our own And moss grows fat on a rolling stone But that's not how it used to be When the jester sang for the king and queen In a coat he borrowed from James Dean And a voice that came from you and me Oh and while the king was looking down The jester stole his thorny crown The courtroom was adjourned No verdict was returned And while Lenin read a book on Marx The quartet practiced in the park And we sang dirges in the dark The day the music died We were singin'. [Chorus]. Helter skelter in a summer swelter The birds flew off with a fallout shelter Eight miles high and falling fast It landed foul on the grass The players tried for a forward pass With the jester on the sidelines in a cast Now the half-time air was sweet perfume While sergeants played a marching tune We all got up to dance Oh but we never got the chance Cause the players tried to take the field The marching band refused to yield Do you recall what was revealed The day the music died? We started singin' [Chorus]. Oh and there we were all in one place A generation lost in s___e With no time left to start again So come on Jack be nimble Jack be quick Jack Flash sat on a candlestick Cause fire is the devil's only friend And as I watched him on the stage My hands were clenched in fists of rage No angel born in Hell Could break that Satan's spell And as the flames climbed high into the night To light the sacrificial right I saw Satan laughing with delight The day the music died He was singin'. [Chorus]. I met a girl who sang the blues And I asked her for some happy news But she just smiled and turned away I went down to the sacred store Where I'd heard the music years before But the man there said the music wouldn't play And in the streets the children screamed The lovers cried and the poets dreamed But not a word was spoken The church bells all were broken And the three men I admire most- the Father Son and the Holy Ghost- They caught the last train for the coast The day the music died And they were singing.  
1973,Tony Orlando And Dawn,Tie A Yellow Ribbon Round The Ole Oak Tree,I'm comin' home I've done my time Now I've got to know what is and isn't mine If you received my letter telling you I'd soon be free Then you'll know just what to do If you still want me If you still want me Whoa tie a yellow ribbon 'round the old oak tree It's been three long years Do you still want me? If I don't see a ribbon round the old oak tree I'll stay on the bus Forget about us Put the blame on me If I don't see a yellow ribbon round the old oak tree. Bus driver please look for me 'cause I couldn't bear to see what I might see I'm really still in prison And my love she holds the key A simple yellow ribbon's what I need to set me free I wrote and told her please. Whoa tie a yellow ribbon round the old oak tree It's been three long years Do you still want me? If I don't see a ribbon round the old oak tree I'll stay on the bus Forget about us Put the blame on me If I don't see a yellow ribbon round the old oak tree Now the whole d___ed bus is cheerin' And I can't believe I see A hundred yellow ribbons round the old oak tree. I'm comin' home. 
1973,Jim Croce,Bad Bad Leroy Brown,Well the South side of Chicago Is the baddest part of town And if you go down there You better just beware Of a man named Leroy Brown Now Leroy more than trouble You see he stand 'bout six foot four All the downtown ladies call him 'Treetop Lover' All the men just call him 'Sir'. Chorus: And it's bad bad Leroy Brown The baddest man in the whole d___ed town Badder than old King Kong And meaner than a junkyard dog. Now Leroy he a gambler And he like his fancy clothes And he like to wave his diamond rings In front of everybody's nose He got a custom Continental He got an Eldorado too He got a 32 gun in his pocket for fun He got a razor in his shoe. (Repeat Chorus). Now Friday 'bout a week ago Leroy shootin' dice And at the edge of the bar Sat a girl named Doris And oo that girl looked nice Well he cast his eyes upon her And the trouble soon began 'Cause Leroy Brown learned a lesson 'Bout messin' with the wife of a jealous man (Repeat Chorus). Well the two men took to fighting And when they pulled them off the floor Leroy looked like a jigsaw puzzle With a couple of pieces gone
1973,Roberta Flack,Killing Me Softly With His Song,Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song I heard he sang a good song I heard he had a style And so I came to see him To listen for a while And there he was this young boy A stranger to my eyes. Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song. I felt all flushed with fever Embarassed by the crowd I felt he found my letters And read each one out loud I prayed that he would finish But he just kept right on. Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song. He sang as if he knew me In all my dark despair And then he looked right through me As if I wasn't there And he just kept on singing Singing clear and strong. Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song [Break]. Strumming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me. He was strumming my pain Yeah he was singing my life Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly With his song 
